"EVENTID","ORGANIZATION","WATERBODYCODE","WATERBODYNAME","STATIONCODE","STATIONNAME","SAMPLEDATETIME","SOURCESAMPLEID","BOTTOMDEPTH","COLLECTIONMETHOD","ACTIVITYTYPE","SAMPLEDEPTH","SAMPLECOMMENT","LABNAME","ACCESSIONNUM","RESULTSETCOMMENT","CHARACTERISTICNAME","CASNO","RESULTQUALIFIER","RESULTMEASURE","RESULTMEASUREUNIT","REPORTINGLIMIT","METHODDETECTLIMIT","ANALYTICALMETHOD","OUTSIDEDETECTIONLIMIT","RESULTCOMMENT",
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,TDS Lab,na,,207,mg/L,25.0000,,SM 2540 C : 2540 C ~ Total Dissolved Solids Dried at 180oC,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Temp Lab,na,,20.7,deg C,15.0000,,SM 2320 B : Alkalinity in Water by Titration,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Total Alkalinity as CaCO3,na,,131.79,mg/L,20.0000,,SM 2320 B : Alkalinity in Water by Titration,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006111,,Total Coliform,na,,1553,MPN/100ml,,,SM 9223 B - Quant-Tray : 9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Total P,7723-14-0,,0.09,mg/L,0.0100,,SM 4500 P E : 4500 P E ~ Phosphorus by Ascorbic Acid,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,TSS,na,<,1.8,mg/L,10.0000,,EPA 160.2 : Non-Filterable Residue - TSS,Y,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Turbidity Lab,na,,1.9,NTU,0.4000,,SM 2130 B : 2130 B ~ Nephelometric Method,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Aluminum,7429-90-5,J,45,ug/l,50.0000,20.0000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Aluminum Diss,7429-90-5,U,13,ug/l,50.0000,20.0000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,Y,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Antimony,7440-36-0,J,0.33,ug/l,2.0000,0.0200,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Arsenic,7440-38-2,J,1.33,ug/l,3.0000,0.0800,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Arsenic Diss,7440-38-2,J,1.36,ug/l,3.0000,0.0800,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Barium,7440-39-3,,60,ug/l,20.0000,10.0000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Beryllium,7440-41-7,U,0,ug/l,2.0000,0.0500,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,Y,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Boron,7440-42-8,J,30,ug/l,100.0000,20.0000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Cadmium,7440-43-9,U,0,ug/l,1.0000,0.0300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,Y,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Cadmium Diss,7440-43-9,U,0,ug/l,1.0000,0.0300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,Y,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Chromium,7440-47-3,J,0.8,ug/l,2.0000,0.0600,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Chromium Diss,7440-47-3,J,0.76,ug/l,2.0000,0.0600,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Copper,7440-50-8,J,1.14,ug/l,2.0000,0.1300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Copper Diss,7440-50-8,J,1.2,ug/l,2.0000,0.1300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Iron,7439-89-6,,280,ug/l,50.0000,10.0000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Lead,7439-92-1,J,0.35,ug/l,1.0000,0.1300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Lead Diss,7439-92-1,J,0.16,ug/l,1.0000,0.1300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Magnesium Diss,7439-95-4,,9,mg/L,5.0000,0.5000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Manganese,7439-96-5,,30,ug/l,20.0000,10.0000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Mercury,7439-97-6,U,0,ug/l,0.2000,0.0300,EPA 245.2 : Mercury by CVAA,Y,Sample analyzed by EPA 245.1,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Mercury Diss,7439-97-6,U,0,ug/l,0.2000,0.0300,EPA 245.2 : Mercury by CVAA,Y,Sample analyzed by EPA 245.1,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Molybdenum,7439-98-7,J,3.66,ug/l,10.0000,0.0500,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Nickel,7440-02-0,J,0.72,ug/l,2.0000,0.0400,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Nickel Diss,7440-02-0,J,0.78,ug/l,2.0000,0.0400,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Potassium Diss,7440-09-7,,5,mg/L,5.0000,0.5500,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Selenium,7782-49-2,J,0.49,ug/l,2.0000,0.3000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Selenium Diss,7782-49-2,U,0.28,ug/l,2.0000,0.3000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,Y,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Silver Diss,7440-22-4,J,0.3,ug/l,2.0000,0.0800,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Thallium,7440-28-0,U,0,ug/l,1.0000,0.0300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,Y,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006116,,Zinc,7440-66-6,J,1.36,ug/l,10.0000,0.8300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00439088-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2016-11-17 09:40:00,439088,,Bridge - Rope/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2016-00006121,,Zinc Diss,7440-66-6,J,1.55,ug/l,10.0000,0.8300,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Field Data,0.000, aprox 0.5 inch of fresh snow,,,aprox 0.5 inch of fresh snow,DO mg/L,7782-44-7,,11.6,mg/L,,,,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Field Data,0.000, aprox 0.5 inch of fresh snow,,,aprox 0.5 inch of fresh snow,"Narrative - Color, Turbidity, or Other Conditions",na,,1,None,,,,N,"Weak turbidity , storm 2 weeks ago",
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Field Data,0.000, aprox 0.5 inch of fresh snow,,,aprox 0.5 inch of fresh snow,Narrative - Floating Debris,na,,0,None,,,,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Field Data,0.000, aprox 0.5 inch of fresh snow,,,aprox 0.5 inch of fresh snow,Narrative - Floating Materials,na,,0,None,,,,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Field Data,0.000, aprox 0.5 inch of fresh snow,,,aprox 0.5 inch of fresh snow,Narrative - Odor,na,,0,None,,,,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Field Data,0.000, aprox 0.5 inch of fresh snow,,,aprox 0.5 inch of fresh snow,Narrative - Settleable Solids,na,,0,None,,,,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Field Data,0.000, aprox 0.5 inch of fresh snow,,,aprox 0.5 inch of fresh snow,pH Field,12408-02-5,,6.32,None,,,,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Field Data,0.000, aprox 0.5 inch of fresh snow,,,aprox 0.5 inch of fresh snow,Temp Field,na,,2.4,deg C,,,,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,Ammonia N,7664-41-7,<,0.1,mg/L,0.1000,,SM 4500 NH3 D : 4500 NH3 D ~ Ammonia by Selective Electrode,Y,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,"Ammonia, Unionized",na,,0.000010,mg/L,,,,Y,AUTOCALCULATE 2019-03-27 18:00:47 Using 1/2 AMNN,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000266,,Calcium Diss,7440-70-2,,13,mg/L,5.0000,0.7000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,Chloride,16887-00-6,,17.53,mg/L,5.0000,0.2000,EPA 300.0 : 300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,CO3 as CO3,3812-32-6,<,0,mg/L,12.0000,,SM2320B/2510/4500H : 2320 B ~ Alkalinity by Titration,Y,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,DOC,na,,4.96,mg/L,1.0000,,SM 5310 C : 5310 C ~ Total organic carbon by Persulfate-UV or Heated-Persulfate Oxidation Method,N,Sample collected in plastic container,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,Fluoride,16984-48-8,J,70,ug/l,100.0000,20.0000,EPA 300.0 : 300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000266,,Hardness Diss,na,,49.757,mg/L,,,,N,AUTOCALCULATE 2019-03-27 18:00:42,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,Kjeldahl N,7727-37-9,,0.4,mg/L,0.2000,,SM 4500 NH3 D : 4500 NH3 D ~ Ammonia by Selective Electrode,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,Nitrate+Nitrite N,na,,0.5,mg/L,0.5000,,EPA 300.0 : 300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,Ortho P,14265-44-2,,0.06,mg/L,0.0100,,SM 4500 P E : 4500 P E ~ Phosphorus by Ascorbic Acid,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,pH Lab,12408-02-5,,7.98,None,2.0000,,SM2320B/2510/4500H : 2320 B ~ Alkalinity by Titration,N,pH analyzed out of hold time,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,Potassium,7440-09-7,J,0.7,mg/L,5.0000,0.5500,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000266,,SAR Diss,na,,0.86,None,,,,N,AUTOCALCULATE 2019-03-27 18:00:44,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000266,,Sodium Diss,7440-23-5,,14,mg/L,5.0000,0.7000,EPA 200.8 : 200.8 ~ EPA; Metals in Waters by ICP/MS,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,SpC Lab,na,,190,umho/cm,10.0000,,SM2320B/2510/4500H : 2320 B ~ Alkalinity by Titration,N,,
00872772-0,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],2017-01-19 07:50:00,872772,,Bank - Dipper/Churn,Laboratory Results,0.000,,Nevada State Health Lab,EN2017-00000257,,Sulfate,14808-79-8,,7.05,mg/L,5.0000,0.2000,EPA 300.0 : 300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,N,,
